Amount,Currency,Rate,Provider,Region,Payment Status,Payment Channel,Mode,Provider Message,Payment Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-10T23:56:21Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-10T23:56:08Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-10T23:52:59Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,cancelled,mobile_money,LIVE,Please enter the one time password sent to your phone,2025-11-10T23:47:32Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,successful,mobile_money,LIVE,success,2025-11-10T23:47:23Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,cancelled,mobile_money,LIVE,Please enter the one time password sent to your phone,2025-11-10T23:44:05Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-10T23:43:12Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-10T23:42:24Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-10T23:42:16Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-10T23:41:35Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,USD,1499.85,paystack,Nigeria,abandoned,card,LIVE,,2025-11-10T23:38:29Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-10T23:33:13Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-10T23:33:04Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,USD,1499.85,paystack,Nigeria,failed,card,LIVE,Merchant is not enabled for international transactions.,2025-11-10T23:32:03Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-10T23:23:47Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-10T23:20:44Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-10T23:19:39Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-10T23:18:42Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-10T23:08:32Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,successful,mobile_money,LIVE,success,2025-11-10T23:06:08Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,USD,1499.85,paystack,Nigeria,successful,card,LIVE,,2025-11-10T22:53:51Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-10T22:53:06Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-10T22:50:25Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-10T22:49:07Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,USD,18.19,ozow,South Africa,failed,eft,LIVE,,2025-11-10T22:46:57Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-10T22:40:26Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-10T22:39:17Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-10T22:37:11Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-10T22:34:54Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-10T22:31:02Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-10T22:30:48Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,USD,2627.66,tembo_plus,Tanzania,abandoned,mobile_money,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-10T22:29:03Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,USD,12.63,paystack,Ghana,abandoned,card,LIVE,,2025-11-10T22:17:25Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,cancelled,mobile_money,LIVE,The OTP provided is incorrect. Please check again,2025-11-10T22:17:07Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-11-10T22:03:31Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,USD,1499.85,paystack,Nigeria,successful,card,LIVE,,2025-11-10T22:02:27Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
