Currency,Provider,Region,Payment Status,Payment Channel,Provider Message,Payment Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,paystack,Nigeria,failed,card,,2025-11-18T23:59:52Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,spotflow_accounts,Nigeria,abandoned,bank_transfer,Payment abandoned after being pending for more than 1 hours,2025-11-18T23:57:56Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,spotflow_accounts,Nigeria,abandoned,bank_transfer,Payment abandoned after being pending for more than 1 hours,2025-11-18T23:57:33Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,spotflow_accounts,Nigeria,abandoned,bank_transfer,Payment abandoned after being pending for more than 1 hours,2025-11-18T23:55:17Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,spotflow_accounts,Nigeria,abandoned,bank_transfer,Payment abandoned after being pending for more than 1 hours,2025-11-18T23:54:29Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,spotflow_accounts,Nigeria,abandoned,bank_transfer,Payment abandoned after being pending for more than 1 hours,2025-11-18T23:54:02Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,spotflow_accounts,Nigeria,abandoned,bank_transfer,Payment abandoned after being pending for more than 1 hours,2025-11-18T23:51:38Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,spotflow_accounts,Nigeria,abandoned,bank_transfer,Payment abandoned after being pending for more than 1 hours,2025-11-18T23:50:01Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,spotflow_accounts,Nigeria,abandoned,bank_transfer,Payment abandoned after being pending for more than 1 hours,2025-11-18T23:41:35Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,spotflow_accounts,Nigeria,abandoned,bank_transfer,Payment abandoned after being pending for more than 1 hours,2025-11-18T23:37:30Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,spotflow_accounts,Nigeria,abandoned,bank_transfer,Payment abandoned after being pending for more than 1 hours,2025-11-18T23:34:51Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,spotflow_accounts,Nigeria,abandoned,bank_transfer,Payment abandoned after being pending for more than 1 hours,2025-11-18T23:28:28Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,spotflow_accounts,Nigeria,abandoned,bank_transfer,Payment abandoned after being pending for more than 1 hours,2025-11-18T23:16:14Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,hubtel,Ghana,failed,mobile_money,Transaction Failed,2025-11-18T23:08:17Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,spotflow_accounts,Ghana,abandoned,bank_transfer,Payment abandoned after being pending for more than 1 hours,2025-11-18T23:07:36Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,hubtel,Ghana,successful,mobile_money,success,2025-11-18T23:03:56Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,hubtel,Ghana,failed,mobile_money,Transaction Failed,2025-11-18T23:01:47Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,hubtel,Ghana,failed,mobile_money,Transaction Failed,2025-11-18T22:59:07Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,paystack,Nigeria,failed,card,,2025-11-18T22:23:16Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,spotflow_accounts,Nigeria,abandoned,bank_transfer,Payment abandoned after being pending for more than 1 hours,2025-11-18T22:22:56Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,spotflow_accounts,Nigeria,successful,bank_transfer,successful,2025-11-18T22:22:51Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,spotflow_accounts,Nigeria,abandoned,bank_transfer,Payment abandoned after being pending for more than 1 hours,2025-11-18T22:22:30Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,hubtel,Ghana,successful,mobile_money,success,2025-11-18T22:21:36Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,spotflow_accounts,Nigeria,successful,bank_transfer,successful,2025-11-18T22:17:50Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
