reference,spotflow_reference,txn_ts,product_id,geo,user_geo,amount_usd,fees_usd,net_amount_usd,local_currency,local_amount,local_fees,exchange_rate,txn_status,audiomack_user_id,spotflow_user_id,provider_msg,is_renewal,channel,audiomack_product
ref-ca4c2ebe-a131-4901-999f-e74fda124eb6,SPF-PSK-9d7453eac8fb4d73a82541e0d8262e19,2025-10-31T10:21:45Z,,NG,NG,20.00,0.30,19.70,NGN,30507.20,457.61,1525.36,successful,178478989,f6b3ccca-b445-44a8-8385-bcfcf287efe4,,false,card,boost
ref-f0ef6c93-7533-4cee-bc03-ce3043b35fa3,SPF-SPA-10869300022041a5bdb16e77cedaba95,2025-10-31T10:13:15Z,,NG,NG,10.00,0.25,9.75,NGN,15253.60,386.77,1525.36,successful,73263809,ac0a3d64-90ef-437f-951f-89ee9603dddd,successful,false,bank_transfer,boost
ref-6818aa47-b90b-40f1-90d9-0af0c9cb1cb6,SPF-HBL-0b756f5ce1704cbab1e8c04aa80d42ea,2025-10-31T08:29:36Z,,GH,GH,10.00,0.38,9.62,GHS,126.30,4.74,12.63,successful,28085688,676ac3b1-ce38-4bad-aad5-d0de1ed59072,success,false,mobile_money,boost
ref-6dabc497-f482-4763-a2f7-7945acb218ec,SPF-HBL-c1abe54e4a1b46aead365b4b02ba25ad,2025-10-31T08:04:29Z,,GH,GH,25.00,0.62,24.38,GHS,315.75,7.89,12.63,successful,80929520,0d78838a-e00a-48a4-a4d3-1b5f0995b34c,success,false,mobile_money,boost
ref-7622d886-3a3b-4fa7-b4bc-71eb040903dd,SPF-SPA-580018639700479386b64ff00147c945,2025-10-31T07:27:59Z,,NG,NG,5.00,0.16,4.84,NGN,7626.80,243.38,1525.36,successful,20430048,24bb477a-0a6c-4025-b717-79fc2f4f613a,successful,false,bank_transfer,boost
ref-802784f6-c3dd-4c3a-abc6-5cc06a14e7bd,SPF-SPA-2cfce0031d5044fe890997533c219369,2025-10-31T07:27:10Z,,NG,NG,5.00,0.16,4.84,NGN,7626.80,243.38,1525.36,successful,183553695,648458b8-fe59-4f26-bad9-ef4b153181b1,successful,false,bank_transfer,boost
ref-5de859a7-3653-4118-97af-da8da2519750,SPF-SPA-04cc02554a504091b00c1c82a6c0554d,2025-10-31T06:47:59Z,,NG,NG,25.00,0.54,24.46,NGN,38134.00,816.92,1525.36,successful,22763429,7aa110cb-34df-456a-bff9-eb691b802f80,successful,false,bank_transfer,boost
ref-19e8a0ea-6d88-4948-b324-4142c3ffde79,SPF-SPA-8292e1ae6a974ab8a1680ca10fceed92,2025-10-31T06:44:37Z,,NG,NG,10.00,0.25,9.75,NGN,15253.60,386.77,1525.36,successful,29495757,87923dd2-9b14-43c1-8682-223e75711c30,successful,false,bank_transfer,boost
ref-cfd778c2-a5e2-4c2c-9a01-3d2afe7b0c6c,SPF-SPA-323aa1b141504b14bc37adacc5fd4725,2025-10-31T06:37:49Z,,NG,NG,15.00,0.35,14.65,NGN,22880.40,530.15,1525.36,successful,122479416,45b24f4f-be90-4e01-9989-13139cb5a5ba,successful,false,bank_transfer,boost
ref-907772f8-9755-40f4-a8ab-0eb80a440384,SPF-SPA-df000823f5c342899924c83f0b9336b9,2025-10-31T06:09:11Z,,NG,NG,5.00,0.16,4.84,NGN,7626.80,243.38,1525.36,successful,182998979,1ab3083b-2033-4606-8165-9640bdc84574,successful,false,bank_transfer,boost
ref-1af5494b-aa3f-4d50-bbe4-d0357749a4eb,SPF-PSK-8c05ab3bb0b14089b1d8e32d96d32ddc,2025-10-31T05:54:43Z,,GH,GH,5.00,0.19,4.81,GHS,63.15,2.37,12.63,successful,48301365,92497656-75e0-4fb4-9cb5-7cddbc192ead,,false,card,boost
ref-26ff602e-1af9-47ba-9398-da96061c8447,SPF-SPA-78f2e93df045430db63f9da1556b98e8,2025-10-31T05:25:10Z,,NG,NG,1.00,0.08,0.92,NGN,1525.36,128.68,1525.36,successful,77408307,b460df11-eb80-4f0d-9ff5-8ffc1877960b,successful,false,bank_transfer,boost
ref-85f7f08f-56d3-4c2c-85c8-596e61a17ba7,SPF-SPA-6a0a7d880088411c9189d0c92ca52043,2025-10-31T04:46:12Z,,NG,NG,50.00,1.01,48.99,NGN,76268.00,1533.84,1525.36,successful,20871290,eeb99b75-8107-4f97-8357-7816eaea8ebc,successful,false,bank_transfer,boost
ref-cd4fd76f-a15b-4f60-90b7-4e36b524201a,SPF-SPA-87ffe8ce32484789b71b3c553856f789,2025-10-31T04:45:09Z,,NG,NG,50.00,1.01,48.99,NGN,76268.00,1533.84,1525.36,successful,20871290,eeb99b75-8107-4f97-8357-7816eaea8ebc,successful,false,bank_transfer,boost
ref-841a5650-5f30-43b2-b1b1-2cbf51aaf395,SPF-SPA-74efbcbb83914c2184ed8fb49aee94ce,2025-10-31T04:28:24Z,,NG,NG,5.00,0.16,4.84,NGN,7626.80,243.38,1525.36,successful,86511096,32beb48c-33a9-4050-b22b-0f70292d4043,successful,false,bank_transfer,boost
ref-aae57f4b-ac72-4852-8013-7c9a1eaf10a8,SPF-SPA-2366f3a18ee44bdfab0b778d846cbf04,2025-10-31T03:38:51Z,,NG,NG,5.00,0.16,4.84,NGN,7626.80,243.38,1525.36,successful,41530352,b4bb67bb-5bd4-4d09-b446-8ad2763bce3b,successful,false,bank_transfer,boost
ref-ad09b278-3f63-40e7-8224-2b93fd84ba0d,SPF-SPA-4f8b2619cd1e4978bf1dc7eec55244ea,2025-10-31T03:15:28Z,,NG,NG,5.00,0.16,4.84,NGN,7626.80,243.38,1525.36,successful,41530352,b4bb67bb-5bd4-4d09-b446-8ad2763bce3b,successful,false,bank_transfer,boost
ref-f307a1ef-9e78-4005-b1cf-010d43ee68b0,SPF-SPA-55eb64e1a2434693b62e282f48c86e0a,2025-10-31T02:49:53Z,,NG,NG,5.00,0.16,4.84,NGN,7626.80,243.38,1525.36,successful,25620668,9fb22c04-6eff-4b42-9622-7c19e7945c6f,successful,false,bank_transfer,boost
ref-169912cf-e418-4e32-865d-0220aa546ff5,SPF-SPA-598eade38b4a47b3964175eb630bcd9d,2025-10-31T02:46:47Z,,NG,NG,5.00,0.16,4.84,NGN,7626.80,243.38,1525.36,successful,41530352,b4bb67bb-5bd4-4d09-b446-8ad2763bce3b,successful,false,bank_transfer,boost
ref-5e631bf7-f669-4e3d-8d79-6cec9229f082,SPF-SPA-98635d857c7e4fd98beb69b5b9808f5f,2025-10-31T02:34:07Z,,NG,NG,5.00,0.16,4.84,NGN,7626.80,243.38,1525.36,successful,25620668,9fb22c04-6eff-4b42-9622-7c19e7945c6f,successful,false,bank_transfer,boost
ref-e60ba9ee-94c0-4659-ab6a-0a4a39c7ae02,SPF-HBL-a960a24ba2f442edb33992e97b078a15,2025-10-31T01:29:00Z,,GH,GH,5.00,0.13,4.87,GHS,63.15,1.58,12.63,successful,13741218,c26ecd8d-6fd7-45c1-b889-a8b1141c4742,success,false,mobile_money,boost
ref-daf5b373-3f11-43a5-9ecd-cfbc81948b03,SPF-SPA-384ff63be659420993b29b26bdefdf34,2025-10-31T01:01:11Z,,NG,NG,8.00,0.22,7.78,NGN,12202.88,329.41,1525.36,successful,117514500,2b8fb1f5-7b78-42e7-94f0-890536bbba52,successful,false,bank_transfer,boost
