Merchant,Rate,Provider,Region,Payment Status,Payment Channel,Mode,Provider Message,Payment Date,,,,,,,,,,,,,,
Audiomack Inc.,1525.36,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-10-27T23:57:43Z,,,,,,,,,,,,,,
Audiomack Inc.,1525.36,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-10-27T23:43:36Z,,,,,,,,,,,,,,
Audiomack Inc.,18.19,ozow,South Africa,abandoned,eft,LIVE,Internet banking session timed out,2025-10-27T23:43:14Z,,,,,,,,,,,,,,
Audiomack Inc.,1525.36,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-10-27T23:42:03Z,,,,,,,,,,,,,,
Audiomack Inc.,1525.36,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-10-27T23:41:30Z,,,,,,,,,,,,,,
Audiomack Inc.,1525.36,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-10-27T23:34:08Z,,,,,,,,,,,,,,
Audiomack Inc.,1525.36,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-10-27T23:33:09Z,,,,,,,,,,,,,,
Audiomack Inc.,18.19,ozow,South Africa,abandoned,eft,LIVE,Internet banking session timed out,2025-10-27T23:33:06Z,,,,,,,,,,,,,,
Audiomack Inc.,1525.36,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-10-27T23:32:08Z,,,,,,,,,,,,,,
Audiomack Inc.,1525.36,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-10-27T23:25:29Z,,,,,,,,,,,,,,
Audiomack Inc.,2627.66,tembo_plus,Tanzania,failed,mobile_money,LIVE,Payment failed,2025-10-27T23:22:13Z,,,,,,,,,,,,,,
Audiomack Inc.,2627.66,tembo_plus,Tanzania,failed,mobile_money,LIVE,Payment failed,2025-10-27T23:20:01Z,,,,,,,,,,,,,,
Audiomack Inc.,2627.66,tembo_plus,Tanzania,failed,mobile_money,LIVE,Payment failed,2025-10-27T23:18:25Z,,,,,,,,,,,,,,
Audiomack Inc.,1525.36,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-10-27T23:14:32Z,,,,,,,,,,,,,,
Audiomack Inc.,1525.36,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-10-27T23:13:09Z,,,,,,,,,,,,,,
Audiomack Inc.,1525.36,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-10-27T23:11:46Z,,,,,,,,,,,,,,
Audiomack Inc.,1525.36,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-10-27T23:11:06Z,,,,,,,,,,,,,,
Audiomack Inc.,1525.36,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-10-27T23:06:08Z,,,,,,,,,,,,,,
Audiomack Inc.,1525.36,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-10-27T23:00:24Z,,,,,,,,,,,,,,
Audiomack Inc.,1525.36,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-10-27T22:58:54Z,,,,,,,,,,,,,,
Audiomack Inc.,1525.36,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-10-27T22:55:23Z,,,,,,,,,,,,,,
Audiomack Inc.,1525.36,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-10-27T22:54:15Z,,,,,,,,,,,,,,
Audiomack Inc.,1525.36,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-10-27T22:51:36Z,,,,,,,,,,,,,,
Audiomack Inc.,1525.36,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-10-27T22:49:27Z,,,,,,,,,,,,,,
Audiomack Inc.,12.63,hubtel,Ghana,failed,mobile_money,LIVE,Please enter the one time password sent to your phone,2025-10-27T22:29:51Z,,,,,,,,,,,,,,
Audiomack Inc.,1525.36,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-10-27T22:29:10Z,,,,,,,,,,,,,,
Audiomack Inc.,1525.36,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-10-27T22:25:37Z,,,,,,,,,,,,,,
Audiomack Inc.,1525.36,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-10-27T22:24:49Z,,,,,,,,,,,,,,
