channel,status,provider_name,provider_status,provider_message,region_id
card,failed,paystack,failed,"Merchant is not enabled for international transactions.",1
mobile_money,failed,hubtel,2001,"The MTN Mobile Money user has reached counter or balance limits, has insufficient funds or is missing permissions",2
card,failed,paystack,failed,,2
card,failed,paystack,failed,"Incorrect PIN",1
mobile_money,failed,hubtel,NULL,"Please enter the one time password sent to your phone",2
card,failed,paystack,failed,,1
mobile_money,failed,hubtel,2001,"The MTN Mobile Money user has reached counter or balance limits, has insufficient funds or is missing permissions",2
mobile_money,failed,tembo_plus,INPROGRESS,"Payment Processed",6
eft,failed,ozow,INPROGRESS,,4
card,failed,paystack,failed,"Transaction Error",1
mobile_money,failed,tembo_plus,FAILED,"Payment failed",6
card,failed,paystack,failed,"Merchant is not enabled for international transactions.",1
card,failed,paystack,failed,"Kindly enter the OTP sent to +23480***739 and OKUNAS***IL.COM",1
card,failed,paystack,failed,NULL,1
card,failed,paystack,failed,"Merchant is not enabled for international transactions.",1
eft,failed,ozow,INPROGRESS,,4
card,failed,interswitch,NULL,"Error processing payment",1
mobile_money,failed,hubtel,NULL,"Please enter the one time password sent to your phone",2
card,failed,paystack,failed,"Insufficient funds",1
mobile_money,failed,hubtel,invalid_otp,"The OTP provided is incorrect. Please check again",2
card,failed,paystack,failed,"Kindly enter the OTP sent to +23490***632 and omasof***il.com",1
eft,failed,ozow,INPROGRESS,,4
mobile_money,failed,hubtel,2001,"The MTN Mobile Money user has reached counter or balance limits, has insufficient funds or is missing permissions",2
mobile_money,failed,hubtel,invalid_otp,"The OTP provided is incorrect. Please check again",2
card,failed,paystack,failed,"Unable to process transaction",1
card,failed,paystack,failed,"Unable to process transaction",1
card,failed,paystack,failed,"Unable to process transaction",1
card,failed,paystack,failed,"Unable to process transaction",1
card,failed,paystack,failed,NULL,1
card,failed,paystack,failed,"Request to Generate Token is Successful",1
card,failed,paystack,failed,"Unable to process transaction",1
card,failed,paystack,failed,"Request to Generate Token is Successful",1
mobile_money,failed,hubtel,2001,"The MTN Mobile Money user has reached counter or balance limits, has insufficient funds or is missing permissions",2
mobile_money,failed,tembo_plus,FAILED,"Payment failed",6
card,failed,paystack,failed,failed,1
mobile_money,failed,tembo_plus,FAILED,"Payment failed",6
mobile_money,failed,hubtel,2001,"The MTN Mobile Money user has reached counter or balance limits, has insufficient funds or is missing permissions",2
mobile_money,failed,hubtel,NULL,"Please enter the one time password sent to your phone",2
mobile_money,failed,hubtel,NULL,"Please enter the one time password sent to your phone",2
mobile_money,failed,hubtel,NULL,"Please enter the one time password sent to your phone",2
mobile_money,failed,hubtel,NULL,"Please enter the one time password sent to your phone",2
card,failed,paystack,failed,NULL,1
mobile_money,failed,hubtel,NULL,"Please enter the one time password sent to your phone",2
mobile_money,failed,hubtel,2001,"Transaction Failed",2
mobile_money,failed,hubtel,invalid_otp,"The OTP provided is incorrect. Please check again",2
card,failed,paystack,failed,"Invalid card number",1
mobile_money,failed,hubtel,NULL,"Please enter the one time password sent to your phone",2
card,failed,paystack,failed,NULL,1
card,failed,paystack,failed,NULL,1
card,failed,paystack,failed,"Request to Generate Token is Successful",1
mobile_money,failed,hubtel,2001,"Transaction Failed",2
mobile_money,failed,hubtel,2001,"The MTN Mobile Money user has reached counter or balance limits, has insufficient funds or is missing permissions",2
eft,failed,ozow,INPROGRESS,,4
card,failed,paystack,failed,NULL,1
card,failed,paystack,failed,"Request to Generate Token is Successful",1
card,failed,paystack,failed,NULL,1
card,failed,paystack,failed,"Request to Generate Token is Successful",1
card,failed,paystack,failed,"Request to Generate Token is Successful",1
eft,failed,ozow,INPROGRESS,,4
eft,failed,ozow,INPROGRESS,,4
mobile_money,failed,hubtel,2001,"Transaction Failed",2
eft,failed,ozow,INPROGRESS,,4
card,failed,paystack,failed,"Merchant is not enabled for international transactions.",1
mobile_money,failed,hubtel,invalid_otp,"The OTP provided is incorrect. Please check again",2
mobile_money,failed,hubtel,2001,"The MTN Mobile Money user has reached counter or balance limits, has insufficient funds or is missing permissions",2
card,failed,paystack,failed,"Token Authentication Failed. Incorrect Token Supplied.",1
card,failed,paystack,failed,"Kindly enter the OTP sent to 2349XXXXXXX33. OR enter the OTP generated on your Hardware Token or Sec",1
card,failed,paystack,failed,"Merchant is not enabled for international transactions.",1
card,failed,paystack,failed,NULL,1
eft,failed,ozow,INPROGRESS,,4
mobile_money,failed,hubtel,2001,"The MTN Mobile Money user has reached counter or balance limits, has insufficient funds or is missing permissions",2
mobile_money,failed,hubtel,NULL,"Please enter the one time password sent to your phone",2
mobile_money,failed,hubtel,2001,"The MTN Mobile Money user has reached counter or balance limits, has insufficient funds or is missing permissions",2
card,failed,paystack,failed,"Merchant is not enabled for international transactions.",1
mobile_money,failed,tembo_plus,FAILED,"Payment failed",6
mobile_money,failed,hubtel,NULL,"Please enter the one time password sent to your phone",2
eft,failed,ozow,INPROGRESS,,4
mobile_money,failed,hubtel,2001,"Transaction Failed",2
card,failed,paystack,failed,NULL,1
mobile_money,failed,hubtel,2001,"The MTN Mobile Money user has reached counter or balance limits, has insufficient funds or is missing permissions",2
bank_transfer,failed,flutterwave,error,"Invalid authorization key",2
card,failed,paystack,failed,"Merchant is not enabled for international transactions.",1
mobile_money,failed,hubtel,2001,"The MTN Mobile Money user has reached counter or balance limits, has insufficient funds or is missing permissions",2
mobile_money,failed,hubtel,NULL,"Please enter the one time password sent to your phone",2
mobile_money,failed,hubtel,2001,"The MTN Mobile Money user has reached counter or balance limits, has insufficient funds or is missing permissions",2
mobile_money,failed,hubtel,2001,"The MTN Mobile Money user has reached counter or balance limits, has insufficient funds or is missing permissions",2
mobile_money,failed,hubtel,NULL,"Please enter the one time password sent to your phone",2
mobile_money,failed,hubtel,2001,"Transaction Failed",2
mobile_money,failed,hubtel,NULL,"Please enter the one time password sent to your phone",2
mobile_money,failed,hubtel,2001,"Please enter the one time password sent to your phone",2
mobile_money,failed,hubtel,2001,"The MTN Mobile Money user has reached counter or balance limits, has insufficient funds or is missing permissions",2
mobile_money,failed,hubtel,2001,"The MTN Mobile Money user has reached counter or balance limits, has insufficient funds or is missing permissions",2
mobile_money,failed,tembo_plus,FAILED,"Payment failed",6
mobile_money,failed,tembo_plus,FAILED,"Payment failed",6
card,failed,paystack,failed,,1
mobile_money,failed,hubtel,NULL,"Please enter the one time password sent to your phone",2
eft,failed,ozow,INPROGRESS,,4
eft,failed,ozow,INPROGRESS,,4
card,failed,paystack,failed,fellback-BnF,1
mobile_money,failed,tembo_plus,FAILED,"Payment failed",6
mobile_money,failed,hubtel,2001,"The MTN Mobile Money user has reached counter or balance limits, has insufficient funds or is missing permissions",2
eft,failed,ozow,INPROGRESS,,4
mobile_money,failed,hubtel,NULL,"Please enter the one time password sent to your phone",2
mobile_money,failed,hubtel,2001,"The MTN Mobile Money user has reached counter or balance limits, has insufficient funds or is missing permissions",2
mobile_money,failed,hubtel,invalid_otp,"The OTP provided is incorrect. Please check again",2
mobile_money,failed,hubtel,NULL,"Please enter the one time password sent to your phone",2
card,failed,paystack,failed,"Merchant is not enabled for international transactions.",1
mobile_money,failed,hubtel,2001,"The MTN Mobile Money user has reached counter or balance limits, has insufficient funds or is missing permissions",2
mobile_money,failed,hubtel,2001,"Please enter the one time password sent to your phone",2
mobile_money,failed,hubtel,2001,"The MTN Mobile Money user has reached counter or balance limits, has insufficient funds or is missing permissions",2
mobile_money,failed,tembo_plus,FAILED,"Payment failed",6
mobile_money,failed,tembo_plus,FAILED,"Payment failed",6
card,failed,paystack,failed,"Incorrect PIN",1
mobile_money,failed,hubtel,2001,"Transaction Failed",2
mobile_money,failed,hubtel,2001,"The MTN Mobile Money user has reached counter or balance limits, has insufficient funds or is missing permissions",2
card,failed,paystack,failed,NULL,1
mobile_money,failed,hubtel,2001,"The MTN Mobile Money user has reached counter or balance limits, has insufficient funds or is missing permissions",2
eft,failed,ozow,INPROGRESS,,4
mobile_money,failed,hubtel,2001,"The MTN Mobile Money user has reached counter or balance limits, has insufficient funds or is missing permissions",2
mobile_money,failed,hubtel,2001,"The MTN Mobile Money user has reached counter or balance limits, has insufficient funds or is missing permissions",2
eft,failed,ozow,INPROGRESS,,4
bank_transfer,failed,flutterwave,error,"Invalid authorization key",2
bank_transfer,failed,flutterwave,error,"Invalid authorization key",2
mobile_money,failed,hubtel,NULL,"Please enter the one time password sent to your phone",2
mobile_money,failed,hubtel,2001,"The MTN Mobile Money user has reached counter or balance limits, has insufficient funds or is missing permissions",2
mobile_money,failed,hubtel,2001,"The MTN Mobile Money user has reached counter or balance limits, has insufficient funds or is missing permissions",2
mobile_money,failed,tembo_plus,FAILED,"Payment failed",6
card,failed,paystack,failed,failed,1
eft,failed,ozow,INPROGRESS,,4
eft,failed,ozow,INPROGRESS,,4
mobile_money,failed,hubtel,2001,"The MTN Mobile Money user has reached counter or balance limits, has insufficient funds or is missing permissions",2
mobile_money,failed,hubtel,2001,"The MTN Mobile Money user has reached counter or balance limits, has insufficient funds or is missing permissions",2
mobile_money,failed,hubtel,NULL,"Please enter the one time password sent to your phone",2
